                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7699,                 8.4854,                0.40876,                 2.8119,                 2.3416,                0.00486,                      1,                0.00585,                0.00129,                      0,                      0,                      0,                      0,                 3.1208,                0.36794,                0.01474,                 2500.3,                 8.3965,             0.00066026,             0.00066026,             0.00066026
                      1,                 1.6639,                 8.4461,                0.36136,                  2.197,                 2.1934,                0.02715,                   0.25,                 0.0255,                0.00939,                      0,                      0,                      0,                      0,                 2.5505,                0.36486,                0.01476,                 54.209,                 4.3436,              0.0011956,              0.0011956,              0.0011956
                      2,                 1.6407,                 8.4086,                0.35272,                 2.1509,                 2.1383,                0.00539,                   0.25,                0.02849,                0.00459,                      0,                      0,                      0,                      0,                 2.7247,                0.36026,                0.01467,                  46.01,                 5.5275,              0.0015989,              0.0015989,              0.0015989
                      3,                   1.55,                 8.4178,                0.35144,                  2.085,                 2.0716,                0.01195,                   0.75,                0.01167,                0.00243,                      0,                      0,                      0,                      0,                 2.9736,                0.36234,                0.01432,                 35.655,                 4.5934,               0.001406,               0.001406,               0.001406
                      4,                 1.5723,                 8.3814,                0.35098,                 2.0719,                 2.0894,                0.00606,                   0.75,                0.01095,                 0.0037,                      0,                      0,                      0,                      0,                 2.7327,                0.35452,                0.01441,                 25.337,                  4.669,               0.001406,               0.001406,               0.001406
                      5,                 1.4977,                  8.355,                0.35171,                 2.0544,                 2.0262,                0.00598,                      1,                 0.0082,                0.00281,                      0,                      0,                      0,                      0,                 2.6752,                  0.358,                0.01506,                   22.5,                 4.5109,               0.001208,               0.001208,               0.001208
                      6,                 1.4971,                 8.3016,                0.35086,                 2.0393,                 2.0035,                0.01711,                      1,                0.04838,                0.01327,                      0,                      0,                      0,                      0,                 2.6121,                0.34731,                0.01562,                 21.598,                 4.4998,                0.00101,                0.00101,                0.00101
                      7,                 1.4649,                  8.239,                 0.3459,                 2.0256,                 1.9925,                0.00841,                    0.5,                0.01371,                0.00612,                      0,                      0,                      0,                      0,                 2.6788,                0.34654,                0.01366,                 22.706,                 4.8255,               0.000812,               0.000812,               0.000812
                      8,                 1.4664,                 8.2603,                0.34804,                 2.0278,                 1.9762,                0.01092,                      1,                0.04787,                0.01073,                      0,                      0,                      0,                      0,                 2.6613,                 0.3644,                0.01417,                 19.746,                 4.7782,               0.000614,               0.000614,               0.000614
                      9,                 1.4269,                 8.2291,                0.34623,                 2.0157,                 1.9501,                0.00726,                   0.75,                0.01332,                 0.0041,                      0,                      0,                      0,                      0,                 2.6613,                0.34146,                0.01418,                 16.529,                 4.4617,               0.000416,               0.000416,               0.000416
