                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76089,                 5.3233,                0.24087,                 1.1868,                 1.3936,                0.01771,                    0.5,                0.02744,                0.02468,                      0,                      0,                      0,                      0,                 2.1344,                0.19378,                0.01011,                 30.607,                  4.433,             0.00066026,             0.00066026,             0.00066026
                      1,                0.80649,                 5.4375,                 0.2394,                 1.1937,                 1.4208,                0.01671,                      1,                 0.0186,                0.01545,                      0,                      0,                      0,                      0,                 2.0984,                0.19222,                0.01049,                 26.609,                 4.5122,              0.0011956,              0.0011956,              0.0011956
                      2,                 0.8628,                 5.5124,                0.23369,                 1.2178,                 1.4614,                0.01823,                      1,                0.02223,                 0.0181,                      0,                      0,                      0,                      0,                  2.186,                 0.1997,                0.01015,                 27.586,                  4.805,              0.0015989,              0.0015989,              0.0015989
                      3,                0.83147,                 5.4852,                0.23635,                 1.2101,                 1.4321,                0.01941,                      1,                0.02313,                0.01847,                      0,                      0,                      0,                      0,                 2.1471,                0.19982,                0.00997,                   25.7,                 4.6741,               0.001406,               0.001406,               0.001406
                      4,                0.83154,                 5.5304,                0.23546,                 1.2161,                 1.4358,                0.01895,                      1,                0.02249,                0.02111,                      0,                      0,                      0,                      0,                 2.0634,                 0.1929,                0.01072,                 28.112,                 3.7342,               0.001406,               0.001406,               0.001406
                      5,                0.79914,                 5.5323,                0.23473,                 1.1985,                 1.4179,                0.01988,                      1,                0.02418,                 0.0213,                      0,                      0,                      0,                      0,                 2.0987,                0.18596,                   0.01,                 29.254,                 4.1928,               0.001208,               0.001208,               0.001208
                      6,                0.78587,                 5.3784,                0.23033,                 1.1915,                 1.3992,                0.01885,                      1,                 0.0214,                 0.0166,                      0,                      0,                      0,                      0,                 2.2505,                0.19179,                0.01062,                 28.789,                 4.4944,                0.00101,                0.00101,                0.00101
                      7,                0.76516,                 5.3274,                0.22976,                 1.1875,                 1.3941,                0.01992,                      1,                0.02364,                0.02032,                      0,                      0,                      0,                      0,                 2.1667,                0.19276,                0.01001,                 29.987,                 4.2574,               0.000812,               0.000812,               0.000812
                      8,                0.74257,                 5.2188,                0.22749,                 1.1649,                 1.3692,                0.01954,                      1,                0.02601,                 0.0224,                      0,                      0,                      0,                      0,                 2.1413,                0.19133,                0.01027,                 28.556,                 4.2958,               0.000614,               0.000614,               0.000614
                      9,                0.73087,                 5.1736,                0.22651,                 1.1551,                 1.3629,                0.02255,                   0.75,                0.03016,                 0.0253,                      0,                      0,                      0,                      0,                 2.1284,                0.19711,                0.01049,                 27.819,                 4.3431,               0.000416,               0.000416,               0.000416
